,ID,BRAND,recency,frequency,tenure
31849,392XCBO478,Adrenaline,66,0,66
31850,392YKXK976,DesignLab,29,1,29
31851,392YQBA166,LimeLight,142,1,142
31852,392YTUS864,LimeLight,51,1,51
31853,392YTUS864,SilverScreen Classics,115,0,115
31854,392ZJLN483,Adrenaline,54,1,54
31855,392ZJLN483,DarkMatter,102,1,102
31856,393AEQO662,LimeLight,16,1,179
31857,393ALJY483,Adrenaline,163,0,163
31858,393ALJY483,DarkMatter,176,0,176
31859,393AQEJ044,CineQuest,16,2,170
31860,393CIHH907,CineQuest,112,1,112
31861,393DGGW459,CineQuest,154,1,154
31862,393DLJS798,Pulse,111,2,160
31863,393EBFN743,ChillStream,133,1,133
31864,393EBSS609,ChillStream,141,1,141
31865,393EREA180,CineQuest,17,1,69
31866,393FBMF493,RetroReel,59,1,59
31867,393FBMF493,TimeCapsule TV,62,1,86
31868,393FOXO897,ChillStream,97,1,155
31869,393FTIW366,Pulse,70,2,115
31870,393HLMK611,DarkMatter,136,0,136
31871,393HMKD566,Adrenaline,154,0,154
31872,393HMKD566,DarkMatter,61,0,61
31873,393HVGD365,SilverScreen Classics,88,0,88
31874,393IFZS828,CineQuest,62,1,178
31875,393ITWO737,DarkMatter,134,1,158
31876,393JIIL238,ChillStream,179,1,179
31877,393JIIL238,RetroReel,3,1,3
31878,393JMIF571,Pulse,59,0,59
31879,393JVMS470,DarkMatter,53,1,53
31880,393JXEA608,SilverScreen Classics,72,1,72
31881,393JYNI907,RetroReel,69,1,69
31882,393JYNI907,TimeCapsule TV,52,1,52
31883,393KWBG539,LimeLight,111,0,111
31884,393KWJS286,RetroReel,140,1,140
31885,393LGHV545,LimeLight,103,0,103
31886,393LKCT473,DarkMatter,110,1,173
31887,393LKXA586,LimeLight,100,0,100
31888,393LNLT917,Pulse,23,1,23
31889,393LYCS953,LimeLight,139,1,139
31890,393LYCS953,Pulse,57,0,57
31891,393MKWZ066,ChillStream,156,1,156
31892,393MLGC667,ChillStream,85,1,92
31893,393MQVS886,DarkMatter,6,1,49
31894,393MQVS886,Pulse,35,1,35
31895,393NEEU066,CineQuest,176,1,176
31896,393NEEU066,Pulse,104,0,104
31897,393OTLO082,LimeLight,24,1,149
31898,393OWNO900,CineQuest,2,1,2
31899,393QDWJ388,TimeCapsule TV,152,1,152
31900,393QEPZ053,ChillStream,39,0,39
31901,393QEPZ053,RetroReel,53,1,100
31902,393QIDM530,LimeLight,176,1,176
31903,393QPNF606,CineQuest,46,0,46
31904,393QPNF606,Pulse,180,0,180
31905,393QZPJ721,PopCulture Now,32,1,32
31906,393QZPJ721,TasteMakers,95,1,95
31907,393RKJZ214,CineQuest,139,1,149
31908,393RSIS032,Adrenaline,113,1,125
31909,393RSIS032,DarkMatter,33,1,102
31910,393SHAS254,CineQuest,127,0,127
31911,393SRZD573,SilverScreen Classics,70,1,104
31912,393TKGB989,CineQuest,159,1,159
31913,393TRSW203,RetroReel,108,1,173
31914,393TWYB780,LimeLight,152,0,152
31915,393USRK992,PopCulture Now,162,0,162
31916,393UXTN084,TasteMakers,42,1,42
31917,393VDGN435,TasteMakers,30,0,30
31918,393VKDX693,CineQuest,40,1,40
31919,393VKDX693,Pulse,74,1,93
31920,393VKDX693,TasteMakers,43,1,43
31921,393VOPC071,Adrenaline,53,1,53
31922,393VOPC071,DarkMatter,108,1,108
31923,393VPFM055,RetroReel,134,0,134
31924,393VVKA457,LimeLight,102,1,154
31925,393WSTG932,PopCulture Now,77,0,77
31926,393WSTG932,TasteMakers,116,0,116
31927,393WZVT210,Pulse,88,1,111
31928,393XAGI258,CineQuest,83,1,83
31929,393XEUS658,RetroReel,99,1,99
31930,393XEUS658,TimeCapsule TV,22,1,27
31931,393ZQKD726,CineQuest,168,1,168
31932,394CDCN816,ChillStream,96,1,96
31933,394CQMT890,Pulse,180,0,180
31934,394DEDD388,Adrenaline,53,1,53
31935,394DEDD388,Pulse,97,2,174
31936,394DJPU922,CineQuest,141,0,141
31937,394DJPU922,Pulse,100,1,100
31938,394DNKC837,ChillStream,122,2,142
31939,394EADM027,TimeCapsule TV,69,1,69
31940,394EQXU237,DesignLab,33,2,87
31941,394FHDV518,DesignLab,14,1,14
31942,394FHDV518,TasteMakers,50,1,50
31943,394FRVY921,PopCulture Now,102,0,102
31944,394FZAS839,DarkMatter,141,0,141
31945,394GNUP340,SilverScreen Classics,150,2,154
31946,394GRDD701,DesignLab,75,1,75
31947,394GTUA036,TasteMakers,76,1,76
